RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
86411,SCOUT,F,2003,Unknown,,10301,07/21/2018,08/30/2019,2018
86427,ZEUS,M,2006,Unknown,,11426,07/21/2018,08/30/2019,2018
86579,ROXY,F,2013,Pomeranian,,10014,07/22/2018,08/30/2019,2018
86581,GYRO,M,2007,Boston Terrier,,11211,07/22/2018,08/30/2019,2018
86656,NIKKI,F,2007,Yorkshire Terrier,,10282,07/23/2018,08/30/2019,2018
86664,DREX,M,2006,Unknown,,11102,07/23/2018,08/30/2019,2018
86840,MELLO,F,2014,Maltese,,10065,07/23/2018,08/30/2019,2018
86858,ROXY,F,2005,Havanese,,10128,07/23/2018,08/30/2019,2018
86888,SOCRATES,M,2004,Pomeranian,,10002,07/23/2018,08/30/2019,2018
86889,SPARKY,M,2004,Yorkshire Terrier,,10282,07/23/2018,08/30/2019,2018
86936,DINO,M,2006,Unknown,,11385,07/24/2018,08/30/2019,2018
86939,BALOO,M,2008,Labrador Retriever,,10128,07/24/2018,08/30/2019,2018
86975,LOLA,M,2009,Brittany Spaniel,,10458,07/24/2018,08/30/2019,2018
87020,PANCHO,M,2005,Dachshund Smooth Coat,,11218,07/24/2018,08/30/2019,2018
87043,OREO,F,2005,Shih Tzu,,10461,07/24/2018,08/30/2019,2018
87044,DALTON,M,2006,Cotton De Tulear,,10461,07/24/2018,08/30/2019,2018
87096,RILEY,M,2012,Unknown,,10306,07/24/2018,08/30/2019,2018
87130,SOPHIE,F,2005,Unknown,,11372,07/24/2018,08/30/2019,2018
87132,MILO,M,2004,Unknown,,11218,07/24/2018,08/30/2019,2018
87153,DELLILIAH,F,2008,Yorkshire Terrier Crossbreed,,10301,07/24/2018,08/30/2019,2018
87163,ELVIS,M,2004,Maltese,,11204,07/24/2018,08/30/2019,2018
87165,SADIE,F,2007,Unknown,,11374,07/24/2018,08/30/2019,2018
87170,HAZEL,F,2007,Shih Tzu,,10019,07/24/2018,08/30/2019,2018
87219,LUCAS,M,2007,Silky Terrier,,10451,07/25/2018,08/30/2019,2018
87221,LUCKY,F,2007,Yorkshire Terrier,,11218,07/25/2018,08/30/2019,2018
87222,SKIPPER,M,2005,"Schnauzer, Miniature",,11214,07/25/2018,08/30/2019,2018
87223,BABY,F,2006,Yorkshire Terrier,,11366,07/25/2018,08/30/2019,2018
87231,DAZER,F,2006,Labrador Retriever Crossbreed,,11364,07/25/2018,08/30/2019,2018
87232,UNO,M,2006,Unknown,,10468,07/25/2018,08/30/2019,2018
